area_level,area_type,area_name_clean,subdistrict_code,town_village_code,ward_code,num_households,total_population_persons,total_workers_persons,non_workers_persons,literate_population_persons
District,Total,Bangalore,0,0,0,2393845,9621551,4246927,5374624,7512276
District,Rural,Bangalore,0,0,0,213207,871607,411407,460200,602859
District,Urban,Bangalore,0,0,0,2180638,8749944,3835520,4914424,6909417
Sub-District,Total,Bangalore North,5542,0,0,85722,352420,154962,197458,251933
Sub-District,Rural,Bangalore North,5542,0,0,64913,270195,118985,151210,188782
Sub-District,Urban,Bangalore North,5542,0,0,20809,82225,35977,46248,63151
Sub-District,Total,Bangalore South,5543,0,0,51094,205274,97576,107698,142150
Sub-District,Rural,Bangalore South,5543,0,0,36931,154523,70645,83878,103328
Sub-District,Urban,Bangalore South,5543,0,0,14163,50751,26931,23820,38822
Sub-District,Total,Bangalore East,5544,0,0,24537,102607,45136,57471,71087
Sub-District,Rural,Bangalore East,5544,0,0,22683,94464,41828,52636,65939
Sub-District,Urban,Bangalore East,5544,0,0,1854,8143,3308,4835,5148
Sub-District,Total,Anekal,5545,0,0,130661,517575,256859,260716,369912
Sub-District,Rural,Anekal,5545,0,0,88680,352425,179949,172476,244810
Sub-District,Urban,Anekal,5545,0,0,41981,165150,76910,88240,125102
Sub-District,Total,Area not under any Sub-district,99999,0,0,2101831,8443675,3692394,4751281,6677194
Sub-District,Rural,Area not under any Sub-district,99999,0,0,0,0,0,0,0
Sub-District,Urban,Area not under any Sub-district,99999,0,0,2101831,8443675,3692394,4751281,6677194
Village,Rural,Gopalapura,5542,612749,0,232,1026,354,672,730
Village,Rural,Kukkanahalli,5542,612750,0,205,935,324,611,615
Village,Rural,Shamabhattara Palya,5542,612751,0,58,297,143,154,198
Village,Rural,Totagere,5542,612752,0,212,1165,369,796,840
Village,Rural,Bommasettihalli,5542,612753,0,75,281,99,182,178
Village,Rural,Syadamipalya,5542,612754,0,35,162,91,71,112
Village,Rural,Bethanagere,5542,612755,0,217,977,435,542,632
Village,Rural,Rampalya,5542,612756,0,58,233,156,77,167
Village,Rural,Huskur,5542,612757,0,324,1320,483,837,889
Village,Rural,Agrahara Palya,5542,612758,0,45,225,89,136,170
Village,Rural,Hosahalli Palya,5542,612759,0,94,425,217,208,287
Village,Rural,Govindapura,5542,612760,0,72,289,107,182,182
Village,Rural,Honnasandra,5542,612761,0,228,1059,506,553,658
Village,Rural,Huchana Palya,5542,612762,0,63,261,163,98,176
Village,Rural,Pillahalli,5542,612763,0,239,1072,549,523,735
Village,Rural,Nagarur,5542,612764,0,518,2040,931,1109,1474
Village,Rural,Kodipalya,5542,612765,0,40,171,116,55,91
Village,Rural,Seshagiri Rao Palya,5542,612766,0,13,55,30,25,20
Village,Rural,Mariyanapalya,5542,612767,0,0,0,0,0,0
Village,Rural,Mathahalli,5542,612768,0,220,890,517,373,633
Village,Rural,Narasipura,5542,612769,0,128,548,260,288,380
Village,Rural,Torenagasandra,5542,612770,0,208,885,498,387,617
Village,Rural,Muniyanapalya,5542,612771,0,21,97,41,56,84
Village,Rural,Vaderahalli,5542,612772,0,176,759,460,299,516
Village,Rural,Alur,5542,612773,0,467,1962,760,1202,1421
Village,Rural,Kuduragere,5542,612774,0,589,2425,1034,1391,1724
Village,Rural,Thammenahalli,5542,612775,0,308,1256,470,786,850
Village,Rural,Hanumantha Sagara,5542,612776,0,176,649,298,351,475
Village,Rural,Heggadadevanapura,5542,612777,0,1254,4820,2850,1970,3635
Village,Rural,Makali,5542,612778,0,744,2873,1529,1344,2244
Village,Rural,Adakamaranahalli,5542,612779,0,1056,4137,2039,2098,3130
Village,Rural,Dasanapura,5542,612780,0,1168,4551,2190,2361,3416
Village,Rural,Gejjagadahalli,5542,612781,0,251,1052,473,579,707
Village,Rural,Hullegowdanahalli,5542,612782,0,305,1366,526,840,858
Village,Rural,Byregowdanahalli,5542,612783,0,173,673,387,286,399
Village,Rural,Venkatapura,5542,612784,0,40,172,68,104,115
Village,Rural,Lakkenahalli,5542,612785,0,205,955,442,513,588
Village,Rural,Kenganahalli,5542,612786,0,91,487,242,245,335
Village,Rural,Shivanapura,5542,612787,0,330,1372,825,547,878
Village,Rural,Gowdahalli,5542,612788,0,143,586,201,385,386
Village,Rural,Harokyathanahalli,5542,612789,0,670,2513,1303,1210,1889
Village,Rural,Narayanappana Palya,5542,612790,0,58,212,95,117,113
Village,Rural,Madavara,5542,612791,0,2307,8742,4398,4344,6324
Village,Rural,Siddanahosahalli,5542,612792,0,1694,6165,3347,2818,5020
Village,Rural,Dombarahalli,5542,612793,0,724,2640,1190,1450,2036
Village,Rural,Gavipalya,5542,612794,0,0,0,0,0,0
Village,Rural,Kadaranahalli,5542,612795,0,88,412,140,272,281
Village,Rural,Avverahalli,5542,612796,0,101,415,148,267,262
Village,Rural,Hunnigere,5542,612797,0,154,644,221,423,431
Village,Rural,Sondekoppa,5542,612798,0,881,4045,1595,2450,2907
Village,Rural,Nagasandra,5542,612799,0,58,253,159,94,128
Village,Rural,Mallasandra,5542,612800,0,193,830,439,391,536
Village,Rural,Gollarapalya,5542,612801,0,10,41,13,28,34
Village,Rural,Ravuthanahalli,5542,612802,0,210,906,346,560,623
Village,Rural,Kammasandra,5542,612803,0,145,649,264,385,428
Village,Rural,Lakshmipura,5542,612804,0,454,1895,706,1189,1322
Village,Rural,K.G.Srikantapura,5542,612805,0,76,299,103,196,213
Village,Rural,Gangondanahalli,5542,612806,0,844,3420,1509,1911,2571
Village,Rural,K.G. Lakkenahalli,5542,612807,0,197,877,413,464,545
Village,Rural,Vaddarahalli,5542,612808,0,81,361,178,183,253
Village,Rural,Bettahalli,5542,612809,0,175,840,336,504,507
Village,Rural,Kittana Halli,5542,612810,0,563,2356,1229,1127,1366
Village,Rural,Gattisiddanahalli,5542,612811,0,0,0,0,0,0
Village,Rural,Giddenahalli,5542,612812,0,154,674,270,404,358
Village,Rural,Kadabagere,5542,612813,0,1358,5235,1885,3350,4058
Village,Rural,Byandahalli,5542,612814,0,191,869,321,548,667
Village,Rural,Bylakonenahalli,5542,612815,0,115,490,201,289,324
Village,Rural,Machohalli,5542,612816,0,1659,6468,2733,3735,4676
Village,Rural,Kachohalli,5542,612817,0,2147,8347,3753,4594,5761
Village,Rural,Ganigarahalli,5542,612818,0,406,1799,747,1052,1129
Village,Rural,Somashetti Halli,5542,612819,0,531,2164,1045,1119,1507
Village,Rural,Lakshmipura,5542,612820,0,958,3895,1597,2298,2676
Village,Rural,Thirumalapura,5542,612821,0,0,0,0,0,0
Village,Rural,Kodigehalli(Part),5542,612822,0,39,163,63,100,135
Village,Rural,Seegehalli,5542,612823,0,410,1609,820,789,1108
Village,Rural,Kannahalli,5542,612824,0,385,1579,713,866,1165
Village,Rural,Manganahalli,5542,612825,0,637,2626,1083,1543,1736
Village,Rural,Sonnenahalli,5542,612826,0,302,1343,671,672,834
Village,Rural,Challahalli,5542,612827,0,180,803,553,250,578
Village,Rural,Haniyur,5542,612828,0,237,972,490,482,649
Village,Rural,Kakkehalli,5542,612829,0,65,237,79,158,140
Village,Rural,Nellukunte,5542,612830,0,72,298,92,206,202
Village,Rural,Kadathanamale,5542,612831,0,110,500,178,322,356
Village,Rural,Marasandra Amanikere,5542,612832,0,612,2343,1022,1321,1702
Village,Rural,Suradenpura,5542,612833,0,366,1734,738,996,1122
Village,Rural,Adde Vishwanathapura,5542,612834,0,398,1762,777,985,1259
Village,Rural,Arakere,5542,612835,0,182,772,311,461,393
Village,Rural,Byrapura,5542,612836,0,131,638,319,319,448
Village,Rural,Channasandra,5542,612837,0,38,167,79,88,102
Village,Rural,Kamakshipura,5542,612838,0,143,707,275,432,394
Village,Rural,Seeresandra,5542,612839,0,117,592,242,350,390
Village,Rural,Byatha,5542,612840,0,201,936,405,531,631
Village,Rural,Kakolu,5542,612841,0,295,1287,573,714,990
Village,Rural,Budumanahalli,5542,612842,0,118,561,228,333,378
Village,Rural,Shanubhoganahalli,5542,612843,0,245,993,459,534,591
Village,Rural,Chokkanahalli,5542,612844,0,85,379,137,242,232
Village,Rural,Sreeramanahalli,5542,612845,0,272,1108,414,694,740
Village,Rural,Sadenahalli,5542,612846,0,370,1463,741,722,916
Village,Rural,Adiganahalli,5542,612847,0,538,2141,1099,1042,1579
Village,Rural,Rajanukunte,5542,612848,0,946,3813,1548,2265,2919
Village,Rural,Ittagallpura,5542,612849,0,106,504,216,288,328
Village,Rural,Dibburu,5542,612850,0,142,623,259,364,431
Village,Rural,Koluvarayanahalli,5542,612851,0,75,378,202,176,296
Village,Rural,Seethakempanahalli,5542,612852,0,175,799,331,468,530
Village,Rural,Hesaraghatta Grass Farm,5542,612853,0,8,41,16,25,32
Village,Rural,Dasenahalli,5542,612854,0,236,1034,617,417,730
Village,Rural,Kalenahalli,5542,612855,0,56,269,130,139,195
Village,Rural,Mathkur,5542,612856,0,230,1065,457,608,727
Village,Rural,Linganahalli,5542,612857,0,112,554,258,296,385
Village,Rural,Muthagada Halli,5542,612858,0,81,315,130,185,185
Village,Rural,Madappanahalli,5542,612859,0,307,1190,597,593,737
Village,Rural,Krishnarajapura,5542,612860,0,14,49,30,19,28
Village,Rural,Mylappanahalli,5542,612861,0,212,940,407,533,631
Village,Rural,Lingarajapura,5542,612862,0,59,224,113,111,110
Village,Rural,Shivakote,5542,612863,0,420,1762,663,1099,1280
Village,Rural,Ivar Kandapura,5542,612864,0,429,1834,854,980,1419
Village,Rural,Hesaraghatta,5542,612865,0,2002,8166,3299,4867,6052
Village,Rural,Guddadahalli,5542,612866,0,174,728,350,378,484
Village,Rural,Bilijaji,5542,612867,0,201,840,433,407,583
Village,Rural,Kodagi Thirumalapura,5542,612868,0,505,2092,966,1126,1474
Village,Rural,Thammarasanahalli,5542,612869,0,96,436,190,246,304
Village,Rural,Madhugirihalli,5542,612870,0,83,405,214,191,251
Village,Rural,Mavallipura,5542,612871,0,218,1000,387,613,727
Village,Rural,Bylakere,5542,612872,0,660,2722,1049,1673,1765
Village,Rural,Kondashetti Halli,5542,612873,0,67,305,95,210,182
Village,Rural,Lingarajasagara,5542,612874,0,0,0,0,0,0
Village,Rural,Kasagattapura,5542,612875,0,655,2660,1037,1623,1972
Village,Rural,Hurali Chikkanahalli,5542,612876,0,483,1901,731,1170,1443
Village,Rural,Tharabana Halli,5542,612877,0,582,2161,856,1305,1712
Village,Rural,Sasiveghatta,5542,612878,0,182,737,243,494,480
Village,Rural,Soladevanahalli,5542,612879,0,812,2940,909,2031,2270
Village,Rural,Kumbarahalli,5542,612880,0,357,1459,563,896,1087
Village,Rural,Kempapura,5542,612881,0,134,566,170,396,431
Village,Rural,Kalathammanahalli,5542,612882,0,151,670,372,298,417
Village,Rural,Guniagrahara,5542,612883,0,377,1533,587,946,1086
Village,Rural,Tarahunase,5542,612884,0,426,1864,789,1075,1090
Village,Rural,Kuduragere,5542,612885,0,241,1073,610,463,705
Village,Rural,Gadenahalli,5542,612886,0,122,604,235,369,401
Village,Rural,Tharabanahalli,5542,612887,0,315,1294,628,666,905
