date,temp_max,temp_min,temp,feelslike,humidity,precip,precip_prob,windgust,windspeed,winddir,cloudcover,visibility,conditions,day_of_week,is_weekend,has_rain
22-07-2024,27.9,20.2,23.7,24.1,82.3,0.2,100,55.8,31.7,253.5,82.4,5.7,"Rain, Partially cloudy",Monday,FALSE,1
23-07-2024,28,21.4,24.1,24.4,83.3,0.5,100,54,29.5,248.5,83.7,5.6,"Rain, Partially cloudy",Tuesday,FALSE,1
24-07-2024,26,20.4,23,23,86.2,3,100,61.6,26.1,249.4,78.7,6,"Rain, Partially cloudy",Wednesday,FALSE,1
25-07-2024,26.9,20.4,22.9,23,89.4,0.5,100,76.7,33.8,252.6,88.5,5.5,"Rain, Partially cloudy",Thursday,FALSE,1
26-07-2024,27.9,21,23.6,24,85.7,0.9,100,67.7,29.7,260.3,74.4,5.7,"Rain, Partially cloudy",Friday,FALSE,1
27-07-2024,29,20.9,24.4,24.8,77.7,0.3,100,64.1,33.6,264.4,79.8,6.4,"Rain, Partially cloudy",Saturday,TRUE,1
28-07-2024,26,21.7,23.7,23.7,80.9,0.3,100,61.9,29,250.5,60.5,6.5,"Rain, Partially cloudy",Sunday,TRUE,1
29-07-2024,29,21.2,24.5,25,80.9,4,100,57.6,29.5,245.5,70.3,6.4,"Rain, Partially cloudy",Monday,FALSE,1
30-07-2024,27,21.1,23.3,23.5,87.9,4.5,100,49.3,28,239.8,83.4,6.1,"Rain, Partially cloudy",Tuesday,FALSE,1
31-07-2024,28.8,20.4,23.3,23.7,86.6,28,100,47.9,22.1,244.5,78.5,5.8,"Rain, Partially cloudy",Wednesday,FALSE,1
01-08-2024,27.8,20.4,23.4,23.6,85.9,0.5,100,43.6,25.8,248.3,68.8,6.6,"Rain, Partially cloudy",Thursday,FALSE,1
02-08-2024,27.9,20.9,23.6,24,88.1,2.5,100,50.4,24.2,245.9,88.2,5.8,"Rain, Partially cloudy",Friday,FALSE,1
03-08-2024,27.9,20.4,23.8,24.1,84.3,5.2,100,49.3,22.4,248.8,86.6,6.3,"Rain, Partially cloudy",Saturday,TRUE,1
04-08-2024,28.9,20.4,24.9,25.5,78,0.1,100,43.6,22.3,249.8,69.7,6.6,"Rain, Partially cloudy",Sunday,TRUE,1
05-08-2024,28.9,21.2,24.2,24.7,82.1,38,100,37.8,18.4,258.9,74.1,6.2,"Rain, Partially cloudy",Monday,FALSE,1
