Zone,Population in 2001,Population in 2011,Area (in Sq. Km),Population Density in 2011,Employment Density in 2011,Average House Hold Size,Average Per Capita Income,Walk- Mode Share,Bicycle- Mode Share,Taxi/Maxi Cab- Mode Share,Auto- Mode Share,Two wheeler- Mode Share,Car/Van- Mode Share,Public Transport- Mode Share,Slow moving vehicles share,Per Capita Trip Rate,Average Trip Length (km),Trip Duration less than 15 mins,Trip Duration less than 30 mins,Sub_District,num_households,total_population_persons,total_workers_persons,literate_population_persons
Bangalore West,1245548,1465613,52,41905,14917,3.56,8700,18.0,2.0,0.2,12.0,25.0,11.0,32.0,2.0,1.52,7.59,14.0,24.0,Bangalore North,85722,352420,154962,251933
Bangalore East,1364197,1695183,101,22541,6035,3.12,7100,21.0,2.0,1.0,13.0,23.0,10.0,30.0,2.0,1.19,6.92,13.0,32.0,Bangalore East,24537,102607,45136,71087
Bangalore South,1584552,1877024,65,36801,9380,3.35,6500,21.0,2.0,1.0,11.0,24.0,11.0,30.0,2.0,1.52,6.47,9.0,24.0,Bangalore South,51094,205274,97576,142150
Byatarayanapura,369679,578773,151,6379,1182,3.95,6900,25.0,1.0,0.0,10.0,26.0,7.0,31.0,1.0,1.48,6.64,11.0,17.0,Bangalore North,85722,352420,154962,251933
Mahadevapura,351732,534797,132,7039,2391,3.85,10800,29.0,3.0,0.0,7.0,25.0,6.0,30.0,3.0,1.35,6.14,15.0,22.0,Bangalore East,24537,102607,45136,71087
Bommanahalli,303126,473205,141,5895,1784,3.57,14200,35.0,1.0,1.0,5.0,26.0,5.0,27.0,1.0,1.51,5.77,13.0,20.0,Bangalore South,51094,205274,97576,142150
Rajarajeshwari Nagara,231891,404924,126,4928,986,3.34,4600,36.0,2.0,0.0,6.0,27.0,3.0,26.0,2.0,1.27,6.5,18.0,33.0,Bangalore South,51094,205274,97576,142150
Dasarahalli,180523,273622,61,4765,565,3.64,5800,37.0,3.0,0.0,4.0,25.0,3.0,28.0,3.0,1.48,6.33,13.0,22.0,Bangalore North,85722,352420,154962,251933
Bangalore North Taluk (BIAAPA),133818,193058,296,613,351,4.33,8600,43.0,4.0,0.0,2.0,25.0,2.0,23.0,4.0,1.09,7.13,11.0,20.0,Area not under any Sub-district,2101831,8443675,3692394,6677194
Devanahalli Taluk (BIAAPA),185326,256787,457,7167,274,3.12,5100,45.0,5.0,0.0,1.0,26.0,3.0,20.0,5.0,1.06,7.03,14.0,26.0,Area not under any Sub-district,2101831,8443675,3692394,6677194
Doddaballapura Taluk (BIAAPA),151611,193915,249,10985,269,3.24,4600,47.0,4.0,0.0,1.0,28.0,1.0,19.0,4.0,1.04,4.75,13.0,23.0,Area not under any Sub-district,2101831,8443675,3692394,6677194
