route_id,agency_id,route_short_name,route_name,route_desc,route_type,route_url,route_color,route_text_color,dummy,Frequency/Timings source,Frequency timings destination,Comments,route_long_name,has_schedule,Zone
1,BMTCB,,Jayanagar 4th Block -Yeshwanthpur,,3,,0000FF,FFFFFF,1.0,,,,1:Jayanagar 4th Block -Yeshwanthpur,True,Bangalore South
1A,BMTCB,,Jayanagar 9th Block -Yeshwanthpur,,3,,F53333,FFFFFF,1.0,,,,1A :Jayanagar 9th Block -Yeshwanthpur,False,
1E,BMTCB,,J P Nagar 6th Phase -Chowdeshwari Bus Station,,3,,F53333,FFFFFF,1.0,,,Runs as 1E only at 9:15AM-runs as 2/99A in all other trips(Posted by ss87),1E :J P Nagar 6th Phase -Chowdeshwari Bus Station,False,
1F,BMTCB,,K R Market -Kuvempunagar (BTM Layout),,3,,F53333,FFFFFF,1.0,,,,1F :K R Market -Kuvempunagar (BTM Layout),False,
2,BMTCB,,Kempegowda Bus Station -J P Nagar 6th Phase,,3,,F53333,FFFFFF,1.0,"04:15,4:40,5AM 5-10 minutes once between 5AM and 10:00PM.Last bus 12AM","4:40,5AM 10 minutes once upto 9:30PM. Last bus at 11:15PM",,2:Kempegowda Bus Station -J P Nagar 6th Phase,False,
2A,BMTCB,,Kempegowda Bus Station -J P Nagar 1st Phase,,3,,F53333,FFFFFF,1.0,,,,2A :Kempegowda Bus Station -J P Nagar 1st Phase,False,
2B,BMTCB,,Kempegowda Bus Station -Ilyasnagar,,3,,F53333,FFFFFF,1.0,,,,2B :Kempegowda Bus Station -Ilyasnagar,False,
2F,BMTCB,,J.P.Nagar 6th phase-Majestic-Basaveshwaranagara,,3,,F53333,FFFFFF,1.0,,,,2F:J.P.Nagar 6th phase-Majestic-Basaveshwaranagara,False,
2LD,BMTCB,,J.P.Nagar 6th Phase- Vidhana soudha,Ladies Special,3,,F53333,FFFFFF,1.0,09:15:00,,Bus no. KA-01-FA-127 run on this route,2LD:J.P.Nagar 6th Phase- Vidhana soudha,False,
3,BMTCB,,J P Nagar 6th Phase -Girinagar 2nd Stage,,3,,F53333,FFFFFF,1.0,,,,3:J P Nagar 6th Phase -Girinagar 2nd Stage,False,
3B,BMTCB,,Jayanagar 9th Block -Banashankari 3rd Stage 2nd Phase,,3,,F53333,FFFFFF,1.0,,,,3B :Jayanagar 9th Block -Banashankari 3rd Stage 2nd Phase,False,
3A,BMTCB,,Jayanagar 9th block-Kathriguppe,,3,,F53333,FFFFFF,1.0,,,,3A:Jayanagar 9th block-Kathriguppe,False,
3E,BMTCB,,Kuvempunagar (BTM Layout) -Banashankari 3rd Stage 2nd Phase,,3,,F53333,FFFFFF,1.0,,,,3E :Kuvempunagar (BTM Layout) -Banashankari 3rd Stage 2nd Phase,False,
3F,BMTCB,,J P Nagar 3rd Phase -Banashankari 3rd Stage 2nd Phase,,3,,F53333,FFFFFF,1.0,,,,3F :J P Nagar 3rd Phase -Banashankari 3rd Stage 2nd Phase,False,
7,BMTCB,,Jayanagar 4th Block -Domlur,,3,,F53333,FFFFFF,1.0,,,,7:Jayanagar 4th Block -Domlur,False,
7D,BMTCB,,Banashankari -Jeevanabhimanagar,,3,,F53333,FFFFFF,1.0,,,,7D :Banashankari -Jeevanabhimanagar,False,
7H,BMTCB,,Jayanagar 4th block-Jayanagar 4th block,"Wilson garden,Austin town,koramangla BDA,BTM",3,,F53333,FFFFFF,1.0,,,,7H:Jayanagar 4th block-Jayanagar 4th block,False,
10A,BMTCB,,K R Market -J P Nagar 3rd Phase,,3,,F53333,FFFFFF,1.0,,Runs from vidhanasoudha in the evening,,10A :K R Market -J P Nagar 3rd Phase,False,
12,BMTCB,,Kempegowda Bus Station -Banashankari,,3,,F53333,FFFFFF,1.0,,,,12:Kempegowda Bus Station -Banashankari,False,
12A,BMTCB,,Kempegowda Bus Station -Banashankari 2nd Stage,,3,,F53333,FFFFFF,1.0,,,,12A :Kempegowda Bus Station -Banashankari 2nd Stage,False,
12B,BMTCB,,Kempegowda Bus Station -Padmanabhanagar,,3,,F53333,FFFFFF,1.0,,,,12B :Kempegowda Bus Station -Padmanabhanagar,False,
12C,BMTCB,,Kempegowda Bus Station -Padmanabhanagar,,3,,F53333,FFFFFF,1.0,,,,12C :Kempegowda Bus Station -Padmanabhanagar,False,
12D,BMTCB,,Kempegowda Bus Station -Kadirenahalli Park,,3,,F53333,FFFFFF,1.0,,,,12D :Kempegowda Bus Station -Kadirenahalli Park,False,
12E,BMTCB,,Kempegowda Bus Station -Banashankari,,3,,F53333,FFFFFF,1.0,,,,12E :Kempegowda Bus Station -Banashankari,False,
7F,BMTCB,,J P Nagar 3rd Phase -Jeevanabhimanagar,,3,,F53333,FFFFFF,1.0,Only one service in morning,Only one service in morning,,7F :J P Nagar 3rd Phase -Jeevanabhimanagar,False,
13,BMTCB,,Shivajinagar -Banashankari,,3,,F53333,FFFFFF,1.0,,,,13:Shivajinagar -Banashankari,False,
13A,BMTCB,,Shivajinagar -Kumaraswamy Layout 2nd Stage,,3,,F53333,FFFFFF,1.0,,,,13A :Shivajinagar -Kumaraswamy Layout 2nd Stage,False,
13B,BMTCB,,Shivajinagar -Padmanabhanagar,,3,,F53333,FFFFFF,1.0,,,,13B :Shivajinagar -Padmanabhanagar,False,
13C,BMTCB,,Shivajinagar -Kumaraswamy Layout,,3,,F53333,FFFFFF,1.0,,,,13C :Shivajinagar -Kumaraswamy Layout,False,
13D,BMTCB,,Shivajinagar -Kadirenahalli Park,,3,,F53333,FFFFFF,1.0,,,,13D :Shivajinagar -Kadirenahalli Park,False,
13E,BMTCB,,Shivajinagar -Srividyanagar,,3,,F53333,FFFFFF,1.0,,,,13E :Shivajinagar -Srividyanagar,False,
13F,BMTCB,,Shivajinagar -Chennammanakere Achkattu,,3,,F53333,FFFFFF,1.0,,,,13F :Shivajinagar -Chennammanakere Achkattu,False,
13G,BMTCB,,Shivajinagar -JHBCS Layout,,3,,F53333,FFFFFF,1.0,,,,13G :Shivajinagar -JHBCS Layout,False,
13H,BMTCB,,Shivajinagar -Arehalli AGS Layout,,3,,F53333,FFFFFF,1.0,,,,13H :Shivajinagar -Arehalli AGS Layout,False,
13J,BMTCB,,Shivajinagar -Hosakerehalli,,3,,F53333,FFFFFF,1.0,,,,13J :Shivajinagar -Hosakerehalli,False,
13K,BMTCB,,Shivajinagar -Minaznagar,,3,,F53333,FFFFFF,1.0,,,,13K :Shivajinagar -Minaznagar,False,
14,BMTCB,,Banashankari -Malleswaram 18th Cross,,3,,F53333,FFFFFF,1.0,,,,14:Banashankari -Malleswaram 18th Cross,False,
14A,BMTCB,,Banashankari -Mathikere,,3,,F53333,FFFFFF,1.0,,,,14A :Banashankari -Mathikere,False,
14B,BMTCB,,Banashankari -Devasandra,,3,,F53333,FFFFFF,1.0,,,,14B :Banashankari -Devasandra,False,
15,BMTCB,,K R Market -Banashankari 2nd Stage,,3,,F53333,FFFFFF,1.0,,,,15:K R Market -Banashankari 2nd Stage,False,
15A,BMTCB,,K R Market -Padmanabhanagar,,3,,F53333,FFFFFF,1.0,,,,15A :K R Market -Padmanabhanagar,False,
15C,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout,,3,,F53333,FFFFFF,1.0,,,,15C :Kempegowda Bus Station -Kumaraswamy Layout,False,
15E,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout,,3,,F53333,FFFFFF,1.0,5-10 minutes once,,,15E :Kempegowda Bus Station -Kumaraswamy Layout,False,
15F,BMTCB,,K R Market -Kumaraswamy Layout 2nd Stage,,3,,F53333,FFFFFF,1.0,,,,15F :K R Market -Kumaraswamy Layout 2nd Stage,False,
15G,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout 2nd Stage,,3,,F53333,FFFFFF,1.0,,,,15G :Kempegowda Bus Station -Kumaraswamy Layout 2nd Stage,False,
15H,BMTCB,,Kempegowda Bus Station -JHBCS Layout,,3,,F53333,FFFFFF,1.0,,,,15H :Kempegowda Bus Station -JHBCS Layout,False,
15K,BMTCB,,Shivajinagar -Ilyasnagar,,3,,F53333,FFFFFF,1.0,,,,15K :Shivajinagar -Ilyasnagar,False,
15L,BMTCB,,Kempegowda Bus Station -Minaznagar,,3,,F53333,FFFFFF,1.0,,,,15L :Kempegowda Bus Station -Minaznagar,False,
16,BMTCB,,K R Market -J P Nagar 3rd Phase,,3,,F53333,FFFFFF,1.0,,,,16:K R Market -J P Nagar 3rd Phase,False,
18,BMTCB,,Kempegowda Bus Station -Jayanagar 9th Block,,3,,F53333,FFFFFF,1.0,,,,18:Kempegowda Bus Station -Jayanagar 9th Block,False,
18A,BMTCB,,Vidhana soudha-J.P.Nagar 3rd phase,,3,,F53333,FFFFFF,1.0,Morning 9AM from J.P.Nagar,Evening 5PM from vidhana soudha,,18A:Vidhana soudha-J.P.Nagar 3rd phase,False,
20,BMTCB,,Shivajinagar -Jayanagar 9th Block,,3,,F53333,FFFFFF,1.0,,,,20:Shivajinagar -Jayanagar 9th Block,False,
21,BMTCB,,K R Market -Byrasandra (Jayanagar),,3,,F53333,FFFFFF,1.0,,,,21:K R Market -Byrasandra (Jayanagar),False,
22,BMTCB,,Kempegowda Bus Station -Jayanagar LIC Colony,,3,,F53333,FFFFFF,1.0,,,,22:Kempegowda Bus Station -Jayanagar LIC Colony,False,
22A,BMTCB,,Jayanagar LIC Colony -Shivajinagar,,3,,F53333,FFFFFF,1.0,,,,22A :Jayanagar LIC Colony -Shivajinagar,False,
23,BMTCB,,J P Nagar 3rd Phase -Yeshwanthpur,,3,,F53333,FFFFFF,1.0,,,,23:J P Nagar 3rd Phase -Yeshwanthpur,False,
24,BMTCB,,K R Market -Kuvempunagar (BTM Layout),,3,,F53333,FFFFFF,1.0,,,,24:K R Market -Kuvempunagar (BTM Layout),False,
24A,BMTCB,,K R Market -Kuvempunagar South (BTM 2nd stage Mahadeshwara nagar,,3,,F53333,FFFFFF,1.0,,,,24A :K R Market -Kuvempunagar South (BTM 2nd stage Mahadeshwara nagar,False,
24B,BMTCB,,K R Market -Jayanagar LIC Colony,,3,,F53333,FFFFFF,1.0,,,,24B :K R Market -Jayanagar LIC Colony,False,
24C,BMTCB,,K.R.Market -East end circle,,3,,F53333,FFFFFF,1.0,,,,24C:K.R.Market -East end circle,False,
