stop_name,stop_id,stop_desc,stop_lat,stop_lon,zone_id,searchlink,validation_url,moderated?(y),Zone,distance_km_to_centroid
A Narayanapura,1,,12.99485655,77.67754555,,A Narayanapura,A Narayanapura,y,Bangalore East,4.38
Abbigere,2,,13.07768078,77.53004551,,Abbigere,Abbigere,,Dasarahalli,5.02
Abhiman Studio,3,,13.06603857,77.642591,,Abhiman Studio,Abhiman Studio,,Byatarayanapura,5.66
Adakamaranahalli,4,,13.07074,77.44572,,Adakamaranahalli,Adakamaranahalli,,Dasarahalli,8.49
Adda Vishwanathapura,5,,13.27236045,77.64896393,,Adda Vishwanathapura,Adda Vishwanathapura,,Devanahalli Taluk (BIAAPA),7.57
ADEGTRE,6,,12.98025,77.65521,,ADEGTRE,ADEGTRE,,Bangalore East,1.57
Adigara Kallahalli,7,,13.089659,77.780322,,Adigara Kallahalli,Adigara Kallahalli,,Mahadevapura,13.73
Adigondanahalli,8,,12.81207,77.75039,,Adigondanahalli,Adigondanahalli,,Bommanahalli,16.29
Adosonnahatti,9,,12.77001,77.69497,,Adosonnahatti,Adosonnahatti,,Bommanahalli,16.57
Adugodi,10,,12.94374134,77.60809779,,Adugodi,Adugodi,,Bangalore South,2.6
Adugodi Police Quarters,11,,12.93916147,77.61021137,,Adugodi Police Quarters,Adugodi Police Quarters,,Bangalore South,2.38
Adur,12,,13.0556,77.70566,,Adur,Adur,,Mahadevapura,10.68
AECS Dental College,13,,12.86586172,77.6009202,,AECS Dental College,AECS Dental College,,Bommanahalli,6.04
AECS Layout (Hosur Road),14,,12.88401871,77.64239788,,AECS Layout (Hosur Road),AECS Layout (Hosur Road),,Bommanahalli,2.71
AECS Layout (Kundalahalli),15,,12.96487246,77.71273613,,AECS Layout (Kundalahalli),AECS Layout (Kundalahalli),,Mahadevapura,4.07
AECS Layout Cross (Hosur Road),16,,12.88410238,77.64252663,,AECS Layout Cross (Hosur Road),AECS Layout Cross (Hosur Road),,Bommanahalli,2.7
Agalahalli,18,,12.89222,77.37568,,Agalahalli,Agalahalli,,Rajarajeshwari Nagara,15.09
Agara (Kanakapura Road),19,,12.811187,77.492393,,Agara (Kanakapura Road),Agara (Kanakapura Road),,Rajarajeshwari Nagara,13.13
Agara (Sarjapur Road),20,,12.92455343,77.65123844,,Agara (Sarjapur Road),Agara (Sarjapur Road),,Bommanahalli,2.46
Agara BMTC Depot,21,,12.92454297,77.65058398,,Agara BMTC Depot,Agara BMTC Depot,,Bommanahalli,2.42
Agara Gate (Kanakapura Road),22,,12.84877,77.52181,,Agara Gate (Kanakapura Road),Agara Gate (Kanakapura Road),,Rajarajeshwari Nagara,8.9
Agrahara Layout,23,,12.97967678,77.54017353,,Agrahara Layout,Agrahara Layout,,Bangalore West,0.76
Ajanta Talkies,24,,12.98268772,77.6147604,,Ajanta Talkies,Ajanta Talkies,,Bangalore East,2.86
Akshayanagar,26,,12.87284855,77.61686325,,Akshayanagar,Akshayanagar,,Bommanahalli,4.42
Alambadi,27,,12.850219,77.782077,,Alambadi,Alambadi,,Mahadevapura,13.74
Alappanahalli,28,,13.101982,77.777871,,Alappanahalli,Alappanahalli,,Bangalore North Taluk (BIAAPA),13.23
Allalasandra,29,,13.08344943,77.58467674,,Allalasandra,Allalasandra,,Byatarayanapura,4.42
Allammanapalya,30,,12.919552,77.365382,,Allammanapalya,Allammanapalya,,Rajarajeshwari Nagara,15.7
Alli Bommasandra,31,,12.83254,77.73453,,Alli Bommasandra,Alli Bommasandra,,Bommanahalli,13.52
Alur,32,,13.075868,77.458581,,Alur,Alur,,Dasarahalli,7.62
Amarajyothinagar,33,,12.97286021,77.52965927,,Amarajyothinagar,Amarajyothinagar,,Bangalore West,0.63
Ambedkar Engineering College,34,,12.96595982,77.50528336,,Ambedkar Engineering College,Ambedkar Engineering College,,Bangalore West,3.37
Ambedkar Medical College,35,,13.02088583,77.61527538,,Ambedkar Medical College,Ambedkar Medical College,,Byatarayanapura,3.47
Ambedkar Vidya Mandira,36,,13.26841,77.55273,,Ambedkar Vidya Mandira,Ambedkar Vidya Mandira,,Doddaballapura Taluk (BIAAPA),3.43
Ambedkarnagar (Sarjapur Road),37,,12.89895,77.71385,,Ambedkarnagar (Sarjapur Road),Ambedkarnagar (Sarjapur Road),,Bommanahalli,8.44
